Nationalities,Year,Liczba Kierowców,Country
German,1951,1,Germany
German,1952,11,Germany
German,1953,19,Germany
German,1954,20,Germany
German,1955,20,Germany
German,1956,21,Germany
German,1957,21,Germany
German,1958,21,Germany
German,1959,21,Germany
German,1960,21,Germany
German,1961,21,Germany
German,1962,23,Germany
German,1963,24,Germany
German,1964,24,Germany
German,1965,24,Germany
German,1966,24,Germany
German,1967,26,Germany
German,1968,26,Germany
German,1969,26,Germany
German,1970,27,Germany
German,1971,27,Germany
German,1972,27,Germany
German,1973,28,Germany
German,1974,29,Germany
German,1975,29,Germany
German,1976,29,Germany
German,1977,30,Germany
German,1978,30,Germany
German,1979,30,Germany
German,1980,31,Germany
German,1981,31,Germany
German,1982,31,Germany
German,1983,31,Germany
German,1984,32,Germany
German,1985,33,Germany
German,1986,33,Germany
